chile; chile pepper; hot pepper,Food,http://www.answers.com/topic/chili-pepper-1
chili bean,Food,http://www.foodista.com/food/6XMGQR43/chili-bean
chili con carne,Role,http://www.answers.com/topic/chili-con-carne
chili flakes,Food,http://www.foodista.com/food/PZGTDV27/chili-flakes
chili oil,Food,http://www.answers.com/topic/chili-oil
chili oil,Food,http://www.cookthink.com/reference/1658/Whats_the_difference_between_a_chile_and_a_chili
chili paste,Food,http://www.answers.com/topic/chili-paste
chili paste,Food,http://www.cookthink.com/reference/show_articles/671/chili_paste
chili pepper,Food,http://www.foodista.com/food/RBYRJTHN/chili-pepper
chili powder,Food,http://www.answers.com/topic/chili-powder
chili powder,Food,http://www.cookthink.com/reference/show_articles/583/chili_powder
chili powder,Food,http://www.food.com/library/chili-powder-719
chili powder,Food,http://www.foodista.com/food/24HQJSTW/chili-powder
chili sauce,Food,http://www.answers.com/topic/chili-sauce
chili sauce,Food,http://www.cookthink.com/reference/1658/Whats_the_difference_between_a_chile_and_a_chili
chili sauce,Food,http://www.food.com/library/chili-sauce-15
chilli,Food,http://www.bbc.co.uk/food/chilli
chilli oil,Food,http://www.bbc.co.uk/food/chilli_oil
chilli paste,Food,http://www.bbc.co.uk/food/chilli_paste
chilli powder,Food,http://www.bbc.co.uk/food/chilli_powder
chilli Sanam 4,Food,http://www.foodista.com/food/TZKBBXTZ/chilli-sanam-4
chilli sauce,Food,http://www.bbc.co.uk/food/chilli_sauce
chili bean paste,Role,http://www.answers.com/topic/chile-bean-paste
chili bean paste,Food,http://www.cookthink.com/reference/1658/Whats_the_difference_between_a_chile_and_a_chili
chile con queso,Role,http://www.answers.com/topic/chile-con-queso
chile pepper,Food,http://www.foodista.com/food/ZBQT7PZV/chile-pepper
chile peppers,Food,http://www.food.com/library/chile-pepper-323
chile peppers,Food,http://www.realsimple.com/food-recipes/ingredients-guide/chile-peppers-00000000039293/index.html
